ID,Player Name,Overall,Club,League,League location,Nationality,Position,Age,Height (cm),Weight (Kg),Pace,Acceleration,Sprint Speed,Dribbling,Agility,Balance,Reactions,Ball Control,Composure,Shooting,Positioning,Finishing,Shot Power,Long Shots,Volleys,Penalties,Passing,Vision,Crossing,Free Kick,Short Pass,Long Pass,Pass Curve,Defending,Interceptions,Heading,Marking,Standing Tackle,Sliding Tackle,Physicality,Jumping,Stamina,Strength,Aggression,Diving,Reflexes,Handling,Speed,Kicking,Positoning,Preferred Foot,Attacking Workrate,Defensive Workrate,Weak Foot,Skill Moves,CB,RB,LB,RWB,LWB,CDM,CM,RM,LM,CAM,CF,RF,LF,RW,LW,ST
6662,Jun Amano,68,Yokohama F?Marinos,Meiji Yasuda J1 League,Japan,Japan,CM,27,175,64,73,74,72,70,74,77,61,71,59,55,69,52,62,58,49,42,68,68,68,63,72,62,64,50,55,49,50,49,43,72,70,87,72,55,0,0,0,0,0,0,Left,Med,Med,3,3,56,61,61,63,63,61,67,69,69,68,66,66,66,67,67,63
6663,Takuya Kida,68,Yokohama F?Marinos,Meiji Yasuda J1 League,Japan,Japan,CDM,24,169,63,71,72,71,58,78,87,62,67,65,39,42,32,47,44,35,42,60,58,53,45,70,64,35,60,66,49,59,62,58,78,81,90,69,84,0,0,0,0,0,0,Right,Med,High,3,2,64,65,65,65,65,67,62,59,59,57,54,54,54,56,56,51
6664,Il Lok Yun,68,Yokohama F?Marinos,Meiji Yasuda J1 League,Japan,Korea Republic,LM,26,178,65,75,77,74,63,74,70,66,62,55,60,69,60,63,58,58,51,66,68,66,56,69,62,64,46,60,49,45,44,23,70,66,78,72,58,0,0,0,0,0,0,Right,High,Med,3,2,53,56,56,59,59,59,64,67,67,66,65,65,65,66,66,63
6665,Piotr Parzyszek,68,Piast Gliwice,Ekstraklasa,Poland,Poland,ST,25,190,80,66,65,67,65,68,50,69,68,66,62,72,65,59,58,65,56,52,56,42,43,64,33,52,39,26,70,44,37,24,76,65,80,79,68,0,0,0,0,0,0,Right,High,High,4,3,51,50,50,51,51,51,58,62,62,63,65,65,65,63,63,67
6666,Julian Leist,68,SG Sonnenhof Großaspach,3 Liga,Germany,Germany,CB,30,192,85,46,51,42,46,45,44,65,53,71,29,30,21,46,27,39,35,42,46,27,20,52,49,25,66,67,67,65,68,58,80,54,70,87,80,0,0,0,0,0,0,Right,Med,High,3,2,67,58,58,55,55,62,51,44,44,44,43,43,43,41,41,45
6667,Gerard Badía Cortés,68,Piast Gliwice,Ekstraklasa,Poland,Spain,RM,28,175,72,75,73,77,69,80,69,63,68,67,62,66,62,62,59,64,66,66,66,66,66,66,65,77,31,27,38,39,23,30,64,77,67,70,42,0,0,0,0,0,0,Left,High,Med,3,3,43,49,49,53,53,50,62,67,67,67,66,66,66,67,67,63
6668,Georg Niedermeier,68,Melbourne Victory,Hyundai A-League,Australia,Germany,CB,32,190,80,34,33,34,32,30,30,69,29,56,34,39,30,57,16,29,49,34,41,25,32,35,36,36,69,56,80,69,74,73,67,56,33,78,87,0,0,0,0,0,0,Right,Med,Med,2,2,67,53,53,48,48,54,40,35,35,35,38,38,38,34,34,44
6669,Terry Antonis,68,Melbourne Victory,Hyundai A-League,Australia,Australia,CM,24,180,74,64,66,63,67,69,69,62,68,70,60,62,58,64,60,56,64,67,73,58,60,69,67,63,57,60,45,57,60,53,67,66,76,66,60,0,0,0,0,0,0,Right,Med,Med,5,3,59,61,61,63,63,64,67,66,66,66,64,64,64,64,64,61
6670,Noë Dussenne,68,Royal Excel Mouscron,Belgium Pro League,Belgium,Belgium,CB,26,191,85,34,37,32,46,58,43,66,52,69,33,28,28,50,21,56,40,46,40,41,29,57,49,28,70,68,76,70,69,66,71,41,62,79,70,0,0,0,0,0,0,Right,Med,Med,3,2,67,59,59,57,57,62,50,44,44,43,42,42,42,41,41,46
6671,Selim Amallah,68,Royal Excel Mouscron,Belgium Pro League,Belgium,Belgium,CAM,21,185,75,68,66,69,69,68,68,64,69,62,66,62,64,75,72,46,52,66,65,66,66,69,62,62,49,45,47,42,57,52,62,67,64,58,66,0,0,0,0,0,0,Right,Med,Med,3,3,55,58,58,60,60,59,65,67,67,67,67,67,67,67,67,64
6672,Olivier Werner,68,Royal Excel Mouscron,Belgium Pro League,Belgium,Belgium,GK,33,193,96,0,43,34,0,34,34,62,22,42,0,12,12,17,15,14,15,0,21,13,16,37,37,12,0,19,11,23,9,19,0,66,27,85,22,71,70,63,43,66,66,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6673,Dimitri Mohamed,68,Royal Excel Mouscron,Belgium Pro League,Belgium,France,CDM,29,182,73,74,76,72,64,71,64,66,64,64,57,63,55,62,54,51,63,66,65,67,62,67,65,59,67,70,64,70,64,63,71,73,82,66,67,0,0,0,0,0,0,Left,High,High,2,2,67,68,68,69,69,67,66,66,66,64,64,64,64,65,65,63
6674,Logan Bailly,68,Royal Excel Mouscron,Belgium Pro League,Belgium,Belgium,GK,32,188,93,0,53,49,0,52,23,63,20,53,0,12,14,21,16,10,22,0,46,12,15,36,38,19,0,20,12,21,15,14,0,71,26,82,42,68,67,68,53,73,66,Left,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6675,Eddie Segura,68,Atlético Huila,Liga Dimayor,Colombia,Colombia,CB,21,182,78,65,63,67,46,61,60,62,50,52,30,26,31,36,22,25,30,40,32,23,30,52,51,23,68,67,63,68,72,66,72,73,68,76,69,0,0,0,0,0,0,Right,Med,High,3,2,67,61,61,58,58,61,48,45,45,43,43,43,43,42,42,45
6676,Mërgim Vojvoda,68,Royal Excel Mouscron,Belgium Pro League,Belgium,Kosovo,RB,23,186,79,68,69,68,65,66,67,66,62,60,45,62,35,62,49,47,35,66,64,72,58,65,67,62,64,65,55,64,66,68,68,65,72,67,67,0,0,0,0,0,0,Right,Med,Med,4,2,65,67,67,67,67,66,64,64,64,62,61,61,61,62,62,57
6677,Ronaldo Tavera,68,Atlético Huila,Liga Dimayor,Colombia,Colombia,CDM,23,174,67,65,70,61,64,66,78,59,68,58,47,39,50,51,42,28,55,65,69,46,50,77,74,34,60,65,48,57,66,57,63,71,72,57,64,0,0,0,0,0,0,Right,Med,Med,4,2,61,62,62,63,63,67,66,62,62,63,59,59,59,59,59,54
6678,Georgios Galitsios,68,Royal Excel Mouscron,Belgium Pro League,Belgium,Greece,RB,32,183,78,67,67,67,64,65,66,66,66,70,29,59,16,60,17,25,37,67,63,70,68,68,67,72,68,70,60,69,68,67,68,66,61,69,74,0,0,0,0,0,0,Right,High,High,3,2,68,67,67,67,67,68,62,62,62,59,57,57,57,58,58,53
6679,Junior Arias,68,Club Atlético Talleres,SAF,Argentina,Uruguay,ST,25,176,79,59,61,58,64,67,69,60,64,68,71,70,76,70,65,52,70,49,53,38,42,60,37,47,26,19,69,30,17,15,65,69,64,69,56,0,0,0,0,0,0,Right,High,Low,3,2,41,41,41,43,43,42,54,59,59,61,64,64,64,61,61,67
6680,Diego Valoyes,68,Club Atlético Talleres,SAF,Argentina,Colombia,RW,22,180,76,80,78,82,67,74,59,67,64,64,69,67,68,72,70,65,62,61,64,63,60,60,53,67,44,38,49,53,37,40,64,56,76,65,50,0,0,0,0,0,0,Right,Med,Low,4,3,50,56,56,58,58,54,61,67,67,66,67,67,67,68,68,66
6681,Leonardo Godoy,68,Club Atlético Talleres,SAF,Argentina,Argentina,RB,23,180,70,71,72,71,66,68,73,66,61,61,37,58,34,32,45,36,41,59,54,64,35,63,62,40,64,68,61,55,71,67,77,61,79,77,80,0,0,0,0,0,0,Right,High,Med,3,2,67,67,67,67,67,66,62,63,63,60,58,58,58,60,60,55
6682,Greg Stewart,68,Kilmarnock,Scottish Premiership,Scotland,Scotland,RM,28,178,73,76,74,77,68,78,74,60,69,53,65,67,68,65,61,49,62,64,68,65,51,67,60,44,30,13,58,45,21,18,60,69,57,61,61,0,0,0,0,0,0,Left,Med,Low,3,3,42,46,46,49,49,47,60,67,67,67,67,67,67,68,68,66
6683,Jakob Ahlmann,68,Aalborg BK,Superliga,Denmark,Denmark,LB,27,179,70,73,71,75,65,66,72,64,67,63,48,64,41,59,49,57,42,64,62,68,55,65,62,59,66,67,53,69,68,64,65,58,74,66,54,0,0,0,0,0,0,Left,High,Med,2,3,64,67,67,68,68,66,64,65,65,63,62,62,62,63,63,59
6684,Rasmus Würtz,68,Aalborg BK,Superliga,Denmark,Denmark,CM,35,179,72,48,50,46,64,64,72,69,68,71,59,58,55,66,60,54,66,60,66,37,49,69,70,48,73,74,66,78,71,67,68,72,63,69,71,0,0,0,0,0,0,Right,Med,High,4,2,70,64,64,63,63,70,67,59,59,63,62,62,62,59,59,61
6685,Mads Pedersen,68,FC Nordsjælland,Superliga,Denmark,Denmark,LWB,22,178,74,85,87,83,69,86,90,60,68,60,44,62,43,52,34,46,41,61,60,63,37,65,62,55,63,63,48,66,65,60,64,91,81,53,63,0,0,0,0,0,0,Left,High,Med,3,3,62,67,67,67,67,64,63,66,66,63,62,62,62,64,64,57
6686,Edgar Bruno da Silva,68,Daegu FC,K LEAGUE Classic,Korea Republic,Brazil,ST,31,191,79,57,48,65,64,55,57,68,64,71,68,69,65,74,66,69,80,62,63,60,44,65,60,71,32,24,70,32,27,25,72,65,69,73,73,0,0,0,0,0,0,Right,Med,Med,3,3,47,47,47,50,50,50,61,64,64,64,65,65,65,63,63,67
6687,Walter Andrade,68,Patronato,SAF,Argentina,Argentina,CB,33,190,86,44,42,46,40,39,40,65,45,62,32,24,28,57,22,20,30,37,20,24,22,54,48,20,68,67,68,70,68,61,71,76,44,85,70,0,0,0,0,0,0,Right,Low,Med,2,2,67,56,56,52,52,59,44,39,39,38,39,39,39,37,37,45
6688,Fernando Brandán,68,San Martín,SAF,Argentina,Argentina,LM,28,168,63,87,89,86,73,89,84,69,69,66,63,59,64,64,64,45,59,57,62,56,60,57,54,53,31,32,37,31,29,30,45,76,62,38,33,0,0,0,0,0,0,Right,Med,Low,3,3,39,50,50,53,53,47,59,67,67,66,67,67,67,68,68,62
6689,Valentinos Sielis,68,Gangwon FC,K LEAGUE Classic,Korea Republic,Cyprus,CB,28,189,95,72,74,71,56,67,56,56,54,56,44,44,28,69,58,40,44,55,52,57,34,60,56,43,67,65,65,67,70,68,77,62,73,85,65,0,0,0,0,0,0,Left,Low,Med,3,2,67,65,65,64,64,63,57,56,56,54,54,54,54,54,54,54
6690,Harmeet Singh,68,Sarpsborg 08 FF,Eliteserien,Norway,Norway,CM,27,180,72,54,58,51,67,68,71,66,68,71,64,67,55,77,68,67,71,67,68,61,60,70,69,71,55,62,63,48,55,53,70,71,77,76,46,0,0,0,0,0,0,Right,Med,Med,3,3,59,60,60,62,62,63,67,65,65,66,65,65,65,64,64,65
6691,Khaleem Hyland,68,Al Faisaly,Saudi Professional League,Saudi Arabia,Trinidad and Tobago,CDM,29,183,80,56,59,54,67,56,64,66,69,70,61,64,49,80,70,57,55,63,64,57,64,67,65,49,65,66,67,60,69,66,78,77,70,85,73,0,0,0,0,0,0,Right,Med,Med,3,3,68,64,64,65,65,67,66,64,64,64,64,64,64,63,63,65
6692,Ante Puljic,68,Al Faisaly,Saudi Professional League,Saudi Arabia,Croatia,CB,30,187,79,57,63,52,46,56,57,64,54,73,42,38,37,61,40,30,37,48,39,47,28,57,52,25,68,65,72,65,71,68,70,73,64,73,71,0,0,0,0,0,0,Right,Med,Med,3,2,67,62,62,60,60,62,52,49,49,47,47,47,47,47,47,51
6693,Jonas Brix-Damborg,68,Hobro IK,Superliga,Denmark,Denmark,CDM,32,183,77,48,45,50,54,59,74,71,59,63,41,57,23,60,54,41,50,62,63,56,62,67,59,64,66,62,55,73,65,63,81,72,87,79,82,0,0,0,0,0,0,Right,Med,High,3,2,67,64,64,64,64,67,62,56,56,56,54,54,54,53,53,52
6694,Quincy Antipas,68,Hobro IK,Superliga,Denmark,Zimbabwe,ST,34,168,69,82,81,83,72,82,84,64,70,65,64,69,65,70,54,63,64,60,61,59,64,61,53,64,32,38,58,30,23,22,69,92,65,68,73,0,0,0,0,0,0,Right,Med,Med,3,3,46,50,50,52,52,50,60,67,67,66,68,68,68,68,68,67
6695,Jerson Malagón,68,Patriotas Boyacá FC,Liga Dimayor,Colombia,Colombia,CB,25,189,77,61,69,54,44,39,47,66,46,57,22,28,17,32,21,24,32,35,30,28,26,49,25,30,68,59,73,71,70,66,79,81,82,84,61,0,0,0,0,0,0,Right,Med,Med,3,2,67,61,61,58,58,57,44,43,43,40,41,41,41,40,40,43
6696,Thomas Goiginger,68,LASK Linz,Osterreichische Fussball-Bundesliga,Austria,Austria,RW,25,181,69,74,75,73,69,64,67,54,68,64,63,67,64,68,57,55,56,67,68,70,62,67,66,65,35,37,54,34,28,37,61,56,69,60,54,0,0,0,0,0,0,Right,Med,Med,3,4,45,52,52,55,55,52,63,68,68,67,67,67,67,68,68,65
6697,Emanuel Pogatetz,68,LASK Linz,Osterreichische Fussball-Bundesliga,Austria,Austria,CB,35,191,90,32,33,32,36,32,48,58,38,63,34,43,26,48,36,24,45,44,23,33,23,66,49,22,66,62,65,67,69,62,80,60,61,91,81,0,0,0,0,0,0,Left,Med,Med,2,2,67,55,55,53,53,60,47,40,40,40,40,40,40,37,37,44
6698,Erling Knudtzon,68,Lillestrøm SK,Eliteserien,Norway,Norway,ST,29,178,70,93,92,94,68,73,78,64,67,62,63,70,61,72,58,58,63,60,68,62,60,61,47,47,41,37,54,38,42,39,73,41,80,73,71,0,0,0,0,0,0,Right,High,Med,3,3,51,57,57,59,59,54,61,69,69,67,68,68,68,69,69,67
6699,Janus Mats Drachmann,68,Odense Boldklub,Superliga,Denmark,Denmark,CM,30,179,71,71,73,69,66,69,76,71,68,72,53,51,45,70,61,40,44,65,68,61,48,68,70,58,67,69,58,69,67,63,76,67,85,69,84,0,0,0,0,0,0,Right,High,High,3,2,68,68,68,69,69,70,67,65,65,64,62,62,62,63,63,60
6700,Troels Kløve,68,Odense Boldklub,Superliga,Denmark,Denmark,LM,27,177,76,78,80,76,71,77,84,71,69,69,60,50,64,61,60,51,47,63,68,58,60,65,60,54,55,53,45,58,60,45,56,42,80,50,43,0,0,0,0,0,0,Right,High,High,3,3,55,62,62,63,63,61,65,67,67,66,65,65,65,67,67,62
6701,Mandé Sayouba,68,Odense Boldklub,Superliga,Denmark,Côte d'Ivoire,GK,25,193,82,0,47,40,0,32,50,59,19,25,0,16,19,22,15,20,15,0,55,18,13,30,25,16,0,25,20,9,12,14,0,50,36,69,19,70,73,64,47,64,65,Right,Med,Med,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6702,Kamil Vacek,68,Odense Boldklub,Superliga,Denmark,Czech Republic,CM,31,184,76,68,70,67,68,75,71,67,68,64,63,65,56,69,70,67,66,67,68,65,67,70,67,53,61,67,61,52,66,62,66,65,64,67,67,0,0,0,0,0,0,Right,Med,Med,5,3,64,65,65,65,65,66,67,66,66,67,66,66,66,66,66,65
6703,Gordan Bunoza,68,Incheon United FC,K LEAGUE Classic,Korea Republic,Bosnia and Herzegovina,CB,30,197,95,45,55,36,46,59,55,57,45,70,37,29,24,62,48,23,34,49,30,55,38,59,51,30,65,71,68,62,65,61,82,63,69,92,78,0,0,0,0,0,0,Left,High,Med,3,2,67,59,59,58,58,61,49,46,46,43,42,42,42,43,43,46
6704,Marco Zambelli,68,Foggia,Calcio B,Italy,Italy,RB,33,183,77,65,64,66,62,68,74,66,60,72,49,48,40,61,59,40,42,55,42,62,43,60,54,51,68,74,60,63,72,68,74,72,80,73,70,0,0,0,0,0,0,Right,Med,Med,3,2,68,67,67,67,67,65,59,58,58,55,56,56,56,57,57,56
6705,Andrea Schenetti,68,Cittadella,Calcio B,Italy,Italy,CM,27,175,72,81,82,80,69,79,88,61,69,65,65,66,64,68,67,63,55,67,66,64,58,72,69,55,51,54,58,44,54,51,63,50,76,61,57,0,0,0,0,0,0,Right,High,Med,4,3,56,62,62,63,63,61,67,69,69,69,68,68,68,69,69,66
6706,Simone Pasa,68,Cittadella,Calcio B,Italy,Italy,CM,24,184,85,55,55,55,64,56,69,65,68,63,54,62,48,61,63,49,48,63,64,51,51,70,68,50,68,71,66,70,67,64,74,73,75,77,65,0,0,0,0,0,0,Left,Med,High,3,2,68,65,65,65,65,69,67,62,62,63,62,62,62,60,60,61
6707,Amedeo Benedetti,68,Cittadella,Calcio B,Italy,Italy,LB,26,170,64,77,78,76,64,73,90,59,61,59,43,47,41,48,42,45,42,59,51,64,41,63,60,49,68,65,58,69,70,70,61,61,74,54,60,0,0,0,0,0,0,Left,High,Med,3,2,64,67,67,67,67,64,59,61,61,58,56,56,56,59,59,54
6708,Daniel Lopes Amora,68,Al Raed,Saudi Professional League,Saudi Arabia,Brazil,CM,30,185,78,60,54,65,66,62,64,65,71,59,48,61,35,66,55,45,50,61,54,49,46,72,69,42,65,73,59,64,66,58,76,59,87,74,69,0,0,0,0,0,0,Right,Med,Med,2,3,66,65,65,66,66,69,67,63,63,62,61,61,61,60,60,59
6709,Oscar Jansson,68,Örebro SK,Allsvenskan,Sweden,Sweden,GK,27,187,82,0,31,30,0,28,42,63,22,55,0,8,15,21,12,14,23,0,46,15,13,30,33,13,0,15,16,22,13,18,0,55,35,60,23,70,71,62,31,62,67,Right,Med,Med,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6710,Tom Lockyer,68,Bristol Rovers,EFL League One,England,Wales,CB,23,180,72,69,73,65,58,70,64,63,61,56,34,36,33,37,34,21,39,54,49,46,30,64,60,43,64,55,69,62,71,66,80,80,83,78,80,0,0,0,0,0,0,Right,Med,High,4,2,67,64,64,63,63,65,58,56,56,54,52,52,52,53,53,51
6711,Fabio Daprelà,68,FC Lugano,Raiffeisen Super League,Switzerland,Switzerland,CB,27,183,76,76,72,79,70,74,65,65,72,68,57,65,54,61,61,46,48,61,59,66,42,63,61,53,65,61,61,68,64,66,78,78,86,80,63,0,0,0,0,0,0,Left,Med,Med,3,3,67,68,68,69,69,66,65,67,67,65,65,65,65,67,67,64
6712,Mijat Maric,68,FC Lugano,Raiffeisen Super League,Switzerland,Switzerland,CB,34,188,89,32,33,32,47,34,58,60,57,62,55,44,47,70,57,40,81,49,45,39,58,53,52,52,69,72,71,67,68,66,73,34,69,79,74,0,0,0,0,0,0,Right,Low,Med,4,2,67,59,59,57,57,63,54,47,47,48,49,49,49,45,45,53
6713,Maik Kegel,68,SC Fortuna Köln,3 Liga,Germany,Germany,CM,28,183,82,62,62,62,61,51,61,70,64,65,57,65,56,53,63,55,61,68,72,65,68,68,68,65,61,67,52,62,62,51,63,55,71,64,52,0,0,0,0,0,0,Right,Med,Med,3,3,61,63,63,64,64,65,67,65,65,65,63,63,63,63,63,60
6714,Steven Ruprecht,68,SC Fortuna Köln,3 Liga,Germany,Germany,CB,31,196,92,50,48,52,51,41,32,62,57,65,53,52,47,70,48,37,75,50,51,54,48,44,53,55,67,65,76,64,68,64,77,46,52,92,76,0,0,0,0,0,0,Left,Med,Med,3,2,67,59,59,57,57,60,53,51,51,51,53,53,53,51,51,57
6715,Mateusz Mozdzen,68,Korona Kielce,Ekstraklasa,Poland,Poland,CDM,27,180,76,77,76,78,66,77,70,72,65,65,64,62,61,70,65,69,53,67,66,66,70,68,66,64,61,55,49,56,69,71,77,72,82,73,81,0,0,0,0,0,0,Right,High,Med,3,3,65,67,67,68,68,67,67,68,68,67,66,66,66,67,67,65
6716,Papá Babacar Diawara,68,Adelaide United,Hyundai A-League,Australia,Senegal,ST,30,185,76,68,67,68,68,81,65,64,64,70,66,70,64,75,61,65,69,55,55,56,60,60,40,50,31,24,67,15,38,34,69,77,66,73,60,0,0,0,0,0,0,Right,High,Med,3,3,46,48,48,50,50,46,56,63,63,63,65,65,65,65,65,67
6717,Michael Jakobsen,68,Adelaide United,Hyundai A-League,Australia,Denmark,CB,32,185,81,55,53,56,60,61,48,64,58,65,47,46,31,75,56,39,60,58,45,63,59,66,58,37,65,65,65,63,67,62,81,82,73,89,69,0,0,0,0,0,0,Left,Med,Med,1,2,67,63,63,64,64,64,59,57,57,55,55,55,55,55,55,56
6718,Steven Taylor,68,Wellington Phoenix,Hyundai A-League,Australia,England,CB,32,186,91,40,41,40,46,31,55,64,55,63,34,20,32,43,24,59,46,53,38,48,53,64,55,49,68,67,69,70,67,64,71,63,61,76,74,0,0,0,0,0,0,Right,Med,High,3,2,67,60,60,59,59,63,52,47,47,45,43,43,43,43,43,45
6719,Abdelkader Oueslati Kaab,68,Al Fateh,Saudi Professional League,Saudi Arabia,Tunisia,CAM,26,182,75,68,67,68,69,71,63,69,74,63,60,64,61,62,56,53,63,68,64,69,61,72,65,67,54,67,50,37,61,63,69,64,73,70,62,0,0,0,0,0,0,Right,High,High,3,4,60,64,64,66,66,65,68,68,68,67,66,66,66,67,67,64
6720,Marvin Spielmann,68,FC Thun,Raiffeisen Super League,Switzerland,Switzerland,LM,22,182,73,85,84,86,69,77,65,54,71,55,69,65,72,73,68,46,62,61,56,62,64,62,58,67,36,30,59,35,34,35,57,53,68,57,45,0,0,0,0,0,0,Right,High,Med,3,3,45,52,52,54,54,49,60,67,67,66,68,68,68,68,68,67
6721,Dennis Hediger,68,FC Thun,Raiffeisen Super League,Switzerland,Switzerland,CM,32,175,79,73,72,74,64,74,81,70,67,72,60,63,58,67,58,49,64,65,70,54,58,71,61,57,62,56,63,68,65,48,89,76,90,92,83,0,0,0,0,0,0,Right,Med,Med,3,2,67,65,65,65,65,68,67,66,66,66,65,65,65,64,64,65
6722,Nigel Boogaard,68,Newcastle Jets,Hyundai A-League,Australia,Australia,CB,32,188,88,32,35,30,40,43,41,56,43,60,27,24,23,42,23,20,27,47,36,21,18,68,64,19,66,67,61,65,69,63,74,85,51,84,75,0,0,0,0,0,0,Right,Low,Med,2,2,67,54,54,52,52,62,50,40,40,42,38,38,38,36,36,40
6723,Steven Ugarkovic,68,Newcastle Jets,Hyundai A-League,Australia,Australia,CDM,24,187,79,72,72,72,67,63,66,57,69,60,45,54,38,57,54,35,32,59,52,53,31,70,68,40,65,67,59,67,66,60,73,62,78,76,64,0,0,0,0,0,0,Right,Med,Med,3,3,66,65,65,66,66,67,64,63,63,62,60,60,60,61,61,58
6724,Michael Liendl,68,Wolfsberger AC,Osterreichische Fussball-Bundesliga,Austria,Austria,CM,32,175,74,58,66,51,68,72,68,70,67,71,69,64,65,72,72,69,82,70,73,67,71,68,68,81,52,58,46,47,53,53,61,66,68,58,58,0,0,0,0,0,0,Left,Med,Med,3,3,55,59,59,61,61,62,67,67,67,68,67,67,67,67,67,64
6725,Markus Kuster,68,SV Mattersburg,Osterreichische Fussball-Bundesliga,Austria,Austria,GK,24,194,82,0,29,31,0,39,36,65,25,27,0,6,15,20,13,13,18,0,48,7,20,27,19,17,0,16,13,14,24,21,0,52,20,58,22,67,66,70,29,62,65,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6726,Matt Preston,68,Mansfield Town,EFL League Two,England,England,CB,23,183,78,74,71,77,46,62,62,58,53,58,32,29,24,49,30,29,51,49,46,44,32,57,50,39,63,61,63,66,62,64,83,85,78,86,79,0,0,0,0,0,0,Right,Med,High,3,2,67,62,62,60,60,61,51,50,50,47,45,45,45,46,46,47
6727,Rafael Scapini de Almeida,68,HJK Helsinki,Finnliiga,Finland,Brazil,RB,36,184,78,59,61,58,65,60,57,66,66,76,60,63,57,71,61,54,48,65,59,69,54,67,65,74,69,69,62,68,71,72,67,64,63,68,71,0,0,0,0,0,0,Right,Med,Med,3,3,68,67,67,67,67,67,65,64,64,63,63,63,63,63,63,63
6728,Romain Vincelot,68,Crawley Town,EFL League Two,England,France,CM,32,177,71,59,60,59,66,69,69,69,68,65,60,66,59,65,59,48,58,61,66,56,45,65,66,43,65,64,71,62,66,64,80,90,85,78,75,0,0,0,0,0,0,Right,Med,High,3,3,68,66,66,66,66,68,67,65,65,65,65,65,65,63,63,65
6729,Filipe Morais,68,Crawley Town,EFL League Two,England,Portugal,RM,32,175,83,72,71,73,70,72,85,65,68,63,54,61,55,61,46,44,59,67,63,74,77,63,65,74,48,56,40,41,53,48,65,85,69,61,65,0,0,0,0,0,0,Right,Med,Med,3,3,55,59,59,62,62,59,63,67,67,64,63,63,63,66,66,60
6730,Peter Hartley,68,Motherwell,Scottish Premiership,Scotland,England,CB,30,185,89,48,60,39,46,58,57,53,51,58,34,17,34,39,36,29,33,51,47,48,26,60,55,24,65,64,69,65,66,61,81,67,73,84,89,0,0,0,0,0,0,Left,Med,Med,3,2,67,59,59,58,58,63,51,47,47,46,42,42,42,44,44,44
6731,David Haro Iniesta,68,GIF Sundsvall,Allsvenskan,Sweden,Spain,LM,28,168,61,81,82,81,73,86,94,57,68,71,65,73,70,63,56,54,61,58,57,63,55,57,51,68,41,38,71,46,31,35,49,80,66,34,56,0,0,0,0,0,0,Right,Med,Med,3,3,47,53,53,55,55,49,58,67,67,65,67,67,67,68,68,67
6732,Mat Sadler,68,Shrewsbury,EFL League One,England,England,CB,33,182,74,55,58,53,60,72,71,62,57,59,44,46,33,58,59,32,42,57,54,55,52,60,59,60,66,66,56,67,69,68,75,73,76,75,76,0,0,0,0,0,0,Left,Med,High,3,2,67,63,63,63,63,65,59,56,56,56,54,54,54,55,55,52
6733,Connor Ripley,68,Accrington Stanley,EFL League One,England,England,GK,25,191,96,0,34,35,0,27,38,56,23,33,0,12,11,20,20,14,14,0,45,11,11,33,28,13,0,19,14,14,12,15,0,50,21,38,16,69,70,69,34,67,68,Right,Med,Med,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6734,Israel Poblete,68,Unión Española,Campeonato Scotiabank,Chile,Chile,CAM,23,171,70,71,71,71,71,78,78,53,70,68,61,64,65,59,57,45,52,65,69,59,71,69,62,56,35,31,37,38,34,37,64,66,74,67,44,0,0,0,0,0,0,Right,Med,Med,3,3,45,51,51,54,54,52,63,67,67,67,65,65,65,67,67,62
6735,Diego Vallejos,68,CD Palestino,Campeonato Scotiabank,Chile,Chile,ST,28,173,74,82,80,83,66,85,73,56,67,53,66,69,65,71,70,52,55,58,59,62,26,62,53,59,33,60,61,30,13,18,77,83,82,83,55,0,0,0,0,0,0,Right,High,Med,3,3,47,51,51,55,55,52,60,66,66,65,66,66,66,67,67,67
6736,Raúl Osorio,68,CD O'Higgins,Campeonato Scotiabank,Chile,Chile,CB,23,180,68,71,70,71,57,62,62,58,57,55,29,30,23,45,25,29,38,40,25,29,25,55,47,29,67,69,67,68,66,61,74,77,70,76,72,0,0,0,0,0,0,Left,Med,Med,3,2,67,61,61,60,60,61,49,49,49,46,47,47,47,47,47,48
6737,César Cortés,68,CD Palestino,Campeonato Scotiabank,Chile,Chile,CAM,34,179,69,64,69,60,68,69,59,59,71,71,59,72,57,59,59,47,71,66,67,58,64,72,59,69,38,18,48,48,38,42,58,39,69,62,37,0,0,0,0,0,0,Left,Med,Med,3,3,45,51,51,54,54,52,63,66,66,67,66,66,66,66,66,62
6738,Albert Acevedo,68,CD O'Higgins,Campeonato Scotiabank,Chile,Chile,CB,35,176,74,49,40,56,40,51,65,74,40,58,29,32,26,38,24,24,38,41,39,27,31,52,45,21,69,71,75,70,68,60,71,77,69,72,69,0,0,0,0,0,0,Right,Med,Med,3,2,67,59,59,56,56,60,48,42,42,41,41,41,41,39,39,44
